"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Tianjinnan","8,093","HR 8115","104732","ζ Cyg","Tianjinnan","Cyg","“Southern star of Tianjin”, the Celestial Ferry, is in the Chinese constellation that allows is celebrated to allow the celestial couple of The Girl and The Cowherd to meet once a year.","Chinese","see ASE","2026/07/16"
"Enduri Senggu","8,105","HR 8130","104887","τ Cyg","Enduri Senggu","Cyg","Name of the Hedgehog Goddess. She is the guardian of human dwellings and in the sky points head northwards, tail southwards in winter.","Manchu","see ASE","2026/07/16"
"Almighzal","7,602","HR 7615","98110","η Cyg","Almighzal","Cyg","Wool Spindle – central Saudi Arabia. The constellation is used in a contemporary oral tradition by the ordinary people.","Arabic","see ASE","2026/07/16"
"Dhanishta","7,939","HR 7947","102531","γ1 Del","Dhanishta","Del","one of the Nakshatras, a constellation, depicted as an (unnumbered) multitude of stars","Sanskrit","see ASE","2026/07/16"
"Protome","8,087","HR 8098","104538","6 Equ","Protome","Equ","Protome, the Bust, is the original name of this constellation from Roman time when Greek was still the language of science. The reasons for this invention are not preserved, but mythology later added.","Ancient Greek","see ASE","2026/07/16"
"Tepennekhet","8,103","HR 8123","104858","del Equ","Tepennekhet","Equ","Head of the Giant, the Giant (Nekhet) being an important Egyptian constellation, is a star name from the Ramesside Star Clocks (1400 and 1200 BCE).","Egyptian","see ASE","2026/07/16"
"Sukhurmashu","7,741","HR 7747","100027","alf01 Cap","Sukhurmashu","Cap","Sukhurmashu is the Akkadian original name for this goat-fish; it was considered a benevolent and philanthropic daemon that helps humans to stay healthy and vivid.","Akkadian","see ASE","2026/07/16"
"Aerostaticus","8,126","HR 8135","105140","eps Mic","Aerostaticus","Mic","Globus Aerostaticus is one of the obsolete constellations, introduced in early modern time to celebrate new technologies.","Latin","see ASE","2026/07/16"
"Uñallamacha","6,456","HD 155985","84556","","Unallamacha","Sco","Uñallamacha, The Baby Llama, is an Inka dark constellation. It forms a super-constellation with its mother, Yaqana. WGSN picked the faintest star above the visibility threshold and inside the dark cloud area to keep its heritage.","Quechua","see ASE","2026/07/01"
"Tianbang","6,620","HR 6588","86414","Iota Her","Tianbang","Her","Tiān Bàng (Celestial Flail, 天棓) is a defensive weapon, attested as constellation since 100 BCE. WGSN represents it by its determinative star.","Chinese","see ASE","2026/06/20"
"Tianbian","7,010","HR 6973","91117","α Sct","Tianbian","Sct","Tiān Biàn (Market Officer, 天弁) is a traditional Chinese asterism close to the Celestial Market super-constellation. It literally means “Celestial Cap"" and describes a ceremonial headgear. The name is attested since around 100 BCE. WGSN represents it by its determinative star.","Chinese","see ASE","2026/06/18"
"Telum","7,616","HR 7635","98337","γ Sge","Telum","Sge","Telum, the Dart, has been used as an alternative name for Sagitta in European literature of the past millennium (e.g. Dürer 1515, Uranometria 1603, Kepler 1627). WGSN applies the name to the brightest star of the asterism.","Latin","see ASE","2026/06/18"
"Shakh","7,485","HR 7488","96837","β Sge","Shakh","Sge","ŠAḪ, Pig, is a Sumerian constellation attested in MUL.APIN (dating between 1350 and 1150 BCE). The two stars Alpha and Beta Sagittae look like the nose of the Mesopotamian constellation The Pig. WGSN applies the name to Beta.","Sumerian","see ASE","2026/06/18"
"Zuoqi","7,527","HR 7536","97365","δ Sge","Zuoqi","Sge","Zuŏ Qí (Left Flag, 左旗) is a Chinese asterism consisting of nine stars and attested for more than 2000 years. It belongs to the super-constellation of flags and drums as signal transmitter.  WGSN represents it by its determinative star.","Chinese","see ASE","2026/06/18"
"Guqi","7,381","HR 7377","95501","δ Aql","Guqi","Aql","Gŭ Qí (Drum Flag, 鼓旗) is a Chinese asterism consisting of nine stars that originated no later than about 100 BCE. It forms a super-constellation with Hé Gŭ (River-Drum) and Zuŏ Qí (Left Flag), as drums and flags were used to transmit signals.","Chinese","see ASE","2026/06/18"
"Arin-majlep","7,205","HR 7176","93244","ε Aql","Arin-majlep","Aql","Arin-majlep, the ""replica of the Big Eye"", with the Big Eye referring to Altair, is the name of a small asterism of three stars in a row: ε, ζ, and ω Aql. WGSN named ε Aql after it.","Marshallese","see ASE","2026/06/18"
"Pagru","7,571","HR 7570","97804","η Aql","Pagru","Aql","Akkadian Pagru, ""body"" or ""corpse,"" is commonly translated ""The Dead Man"", attested as a constellation in MUL.APIN which dates between 1350 and 1150 BCE, and has been used through the entire 1st millennium BCE.","Akkadian","see ASE","2026/06/18"
"Hru","7,467","HR 7474","96665","σ Aql","Hru","Aql","Hru or Ru means Arrow. The term derives from Sanskrit, but is used as a constellation on the Island of Bali for at least 1300 years.","Sanskrit","see ASE","2026/06/18"
"Pongaponga","7,067","HR 7051","91919","ε1 Lyr A","Pongaponga","Lyr","Pongaponga (“nostrils”) is a star name from the island of Pukapuka (South Pacific) for the visual double star ε1 (4) Lyr and ε2 (5) Lyr. WGSN applies the name to ε1 Lyr A.","Cook Is. Maori","see ASE","2026/06/18"
"Niandao","7,161","HR 7157","92862","13 Lyr","Niandao","Lyr","Niăn Dào (Imperial Passageway, 辇道) is a private way for the emporer for harmonious journeys. WGSN represents it by its determinative star.","Chinese","see ASE","2026/06/18"
"Kautoki","7,071","HR 7056","91971","ζ1 Lyr","Kautoki","Lyr","The name means ""handle (kau) of the adze (toki)"" and describes an asterism from the Polynesian island of Kapingamarangi.","Kapingamarangi","see ASE","2026/06/18"
"Urquchillay","7,072","HR 7057","91973","ζ2 Lyr","Urquchillay","Lyr","Urquchillay, the Llama of Many Colors, is the name of the Inka god of livestock and wildlife; it was the protector of animal. Its constellation covers large areas of Lyra; WGSN adopts the name for a star close the the god's heart.","Quechua","see ASE","2026/06/18"
"Jiantai","7,151","HR 7139","92791","δ2 Lyr","Jiantai","Lyr","Jiàn Tái (Clepsydra Terrace, 渐台) is a Chinese constellation of 4 stars, a symbol of astronomical timekeeping and musical pitch calibration.","Chinese","see ASE","2026/06/18"
"Ninnisig","7,317","HR 7314","94713","θ Lyr","Ninnisig","Lyr","Ninnisig and Erragal are two Sumerian gods associated with the pair of stars, Ninnisig is the goddess who is butcher of the highest temple (name honours a profession).","Sumerian","see ASE","2026/06/18"
"Yaqana","6,136","HR 6115","80582","ε Nor","Yaqana","Nor","Yaqana is a mother llama and forms a super-constellation with Uñallamacha, the baby llama. They rise in the sky when baby llamas are born on Earth.","Quechua","see ASE","2026/06/18"
"Moth","10,145","HD 61005","36948","","Moth","Pup","The star has a surrounding nebula and circumstellar disk, creating the appearance of a moth.","English","see ASE","2026/06/13"
"Butterfly Star","10,146","IRAS 04302+2247","","","Butterfly Star","Tau","The YSO was nicknamed ""Butterfly"" in 1997 because of the shape of its infrared image in Lucas and Roche (1997), who announced it as ""a butterfly in Taurus"".","English","see ASE","2026/06/13"
"Dust-Ball","10,147","V* V927 Per","","","Dust-Ball","Per","In infrared, the star V927 Per looks embedded into a dusty nebula with bow shocks; the unresolved fuzziness caused the nickname.","English","see ASE","2026/06/13"
