pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr3_id,ra,dec,sy_dist,sy_snum,sy_pnum,cb_flag,st_teff,st_mass,st_rad,st_lum,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,discoverymethod,disc_year,disc_facility,pl_controv_flag
"11 Com b","11 Com","b","HD 107383","HIP 60202","TIC 72437047","Gaia DR3 3946945413106333696",185.1787793,17.7932516,93.18460000,2,1,0,4874.00,2.090000,13.760000,1.97823,12.20000000,4914.89848585,"Msini",14.900000,803.26,68.5387,323.21000000000,1.1780000000,0.238000,,"Radial Velocity",2007,"Xinglong Station",0
"11 UMi b","11 UMi","b","HD 136726","HIP 74793","TIC 230061010","Gaia DR3 1696798367260229376",229.2745954,71.8239428,125.32100000,1,1,0,4213.00,2.780000,29.790000,2.42951,12.30000000,4684.81420000,"Msini",13.800000,896.43,114.8502,516.21997000000,1.5300000000,0.080000,,"Radial Velocity",2009,"Thueringer Landessternwarte Tautenburg",0
"14 And b","14 And","b","HD 221345","HIP 116076","TIC 333225860","Gaia DR3 1920113512486282240",352.8241500,39.2358367,75.43920000,1,1,0,4888.00,1.780000,11.550000,1.83992,13.10000000,1131.15130051,"Msini",2.760000,909.92,115.1634,186.76000000000,0.7750000000,0.000000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"14 Her b","14 Her","b","HD 145675","HIP 79248","TIC 219483057","Gaia DR3 1385293808145621504",242.6021014,43.8163621,17.93230000,1,2,0,5338.00,0.970000,0.930000,-0.15273,12.50000000,2828.67282230,"Mass",7.960000,147.32,0.0873,1766.41000000000,2.8390000000,0.368300,146.70000,"Radial Velocity",2002,"W. M. Keck Observatory",0
"16 Cyg B b","16 Cyg B","b","HD 186427","HIP 96901","TIC 27533327","Gaia DR3 2135550755683407232",295.4656422,50.5168243,21.13970000,3,1,0,5750.00,1.080000,1.130000,0.09729,13.50000000,565.73740000,"Msini",1.260000,228.76,0.4540,798.50000000000,1.6600000000,0.680000,,"Radial Velocity",1996,"Multiple Observatories",0
"17 Sco b","17 Sco","b",,"HIP 79540","TIC 135596590","Gaia DR3 4342464209753404416",243.4620874,-11.8377905,124.95300000,1,1,0,4157.00,1.220000,25.920000,2.25435,12.90000000,1373.01871824,"Msini",3.510000,847.51,85.4316,578.38000000000,1.4500000000,0.060000,,"Radial Velocity",2020,"Lick Observatory",0
"18 Del b","18 Del","b","HD 199665","HIP 103527","TIC 354489950","Gaia DR3 1756741374681702784",314.6078375,10.8391378,76.22200000,2,1,0,4980.00,2.100000,8.800000,1.63367,12.50000000,2926.24614325,"Msini",8.230000,452.72,7.0173,982.85000000000,2.4760000000,0.024000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"1RXS J160929.1-210524 b","1RXS J160929.1-210524","b",,,"TIC 48964101","Gaia DR3 6243841249531772800",242.3762343,-21.0831403,139.13500000,1,1,0,4060.00,0.850000,1.313160,-0.37000,18.64700000,3000.00000000,"Mass",2.540000,1700.00,0.0000,,330.0000000000,,,"Imaging",2008,"Gemini Observatory",0
"24 Boo b","24 Boo","b","HD 127243","HIP 70791","TIC 441712711","Gaia DR3 1603662211901473408",217.1555242,49.8446488,95.98630000,1,1,0,4816.00,1.050000,12.190000,1.87691,13.90000000,280.64248338,"Msini",0.574000,1840.86,2001.2754,30.33000000000,0.1940000000,0.032000,,"Radial Velocity",2018,"Okayama Astrophysical Observatory",0
"24 Sex b","24 Sex","b","HD 90043","HIP 50887","TIC 1713457","Gaia DR3 3830897080395058048",155.8684866,-0.9023998,72.06910000,1,2,0,5098.00,1.540000,4.900000,1.16400,13.40000000,632.46000000,"Msini",1.440000,471.32,8.2099,452.80000000000,1.3330000000,0.090000,,"Radial Velocity",2010,"Lick Observatory",0
