"WGSN-ID","Name","HIP","RA2000","DE2000","Vmag","type","HR","HD","Bayer/other","constellation","distance from Sun/ ly","B-V color","VmagMax","VmagMin"
"10000","Parumleo","","3.96","1.20","11.26","","","_","WASP-32","Pisces","","0.80","",""
"10001","Citadelle","HIP 1547","4.82","14.05","8.52","K0","","1502","","Pisces","546.3121173","0.92","",""
"10002","Felixvarela","HIP 2247","7.14","-16.23","9.57","K5 V","","","","Cetus","122.4391372","1.17","",""
"10003","Cocibolca","HIP 3479","11.11","-26.52","7.78","G5 V","","4208","","Sculptor","106.6531638","0.66","",""
"10004","Nenque","HIP 5054","15.08","-39.49","7.71","G2/3 V","","6434","","Phoenix","131.5062909","0.61","",""
"10005","Emiw","HIP 5529","15.18","-66.19","8.03","K0 IV/V","","7199","","Tucana","117.0249488","0.87","",""
"10006","Bélénos","HIP 6643","15.42","28.57","7.11","F8","","8574","","Pisces","144.1611563","0.57","",""
"10007","Mpingo","","29.26","0.76","10.56","G2","","_","WASP-71","Cetus","","0.79","",""
"10008","Buna","HIP 12191","30.62","42.06","7.28","G0","","16175","","Andromeda","195.1720329","0.66","",""
"10009","Koeia","HIP 12961","30.78","-23.09","10.24","M0","","","","Eridanus","77.62523354","1.41","",""
"10010","Nushagak","HIP 13192","30.83","71.75","8.17","G0 V","","17156","","Cassiopeia","244.6173632","0.62","",""
"10011","Muspelheim","","33.13","51.78","11.83","","","_","HAT-P-29","Perseus","","0.47","",""
"10012","Horna","","35.38","32.25","12.51","G","","_","HAT-P-38","Triangulum","","0.83","",""
"10013","Diya","","41.04","-30.17","10.84","","","_","WASP-72","Fornax","","","",""
"10014","Chaophraya","","43.69","-10.90","11.44","G9V","","","WASP-50","Eridanus","","0.99","",""
"10015","Ayeyarwady","HIP 13993","45.00","-20.80","7.97","G8/K0 IV","","18742","","Eridanus","417.0889142","0.94","",""
"10016","Intan","HIP 15578","45.35","-33.73","9.92","K3/4 IV","","20868","","Fornax","159.4905163","1.04","",""
"10017","Tupi","HIP 17096","45.66","-52.92","7.12","F8/G0 V","","23079","","Reticulum","112.850142","0.58","",""
"10018","Tojil","","52.82","-23.82","11.99","G","","_","WASP-22","Eridanus","","0.39","",""
"10019","Hoggar","HIP 21109","60.52","4.58","8.54","G8 IV","","28678","","Taurus","550.9435391","1.01","",""
"10020","Mouhoun","HIP 22491","60.84","-24.37","8.07","K0 III","","30856","","Eridanus","394.8776597","0.96","",""
"10021","Berehynia","","66.25","39.46","12.41","G5","","_","HAT-P-15","Perseus","","0.61","",""
"10022","Montuno","","66.37","-30.60","10.04","F5","","_","WASP-79","Eridanus","","0.41","",""
"10023","Bubup","HIP 26380","75.62","-73.70","6.70","F9.5V","","38283","","Mensa","123.2219251","0.56","",""
"10024","Naledi","","87.14","-63.99","10.21","","","_","WASP-62","Dorado","","0.52","",""
"10025","Amadioha","HIP 29550","90.23","-29.90","8.98","G8 V","","43197","","CanisMajor","183.6261015","0.82","",""
"10026","Lucilinburhuc","HIP 30860","90.48","38.96","7.89","G5 V","","45350","","Auriga","159.6535958","0.75","",""
"10027","Lusitânia","HIP 30905","90.49","10.93","8.13","G8-K0","","45652","","Monoceros","117.8729489","0.84","",""
"10028","Nosaxa","HIP 31895","90.67","-48.54","8.05","G5 V","","48265","","Puppis","285.0933913","0.75","",""
"10029","Nervia","HIP 32916","90.86","40.87","8.10","G5 V","","49674","","Auriga","132.843533","0.73","",""
"10030","Kosjenka","","94.34","-38.32","11.15","G8","","","WASP-63","Columba","","0.59","",""
"10031","Geminga","","98.48","17.77","","PSR","","","PSR B0633+17","Gemini","","","",""
"10032","Atakoraka","","101.12","-32.86","0.00","","","_","WASP-64","CanisMajor","","","",""
"10033","Ceibo","HIP 37284","105.66","-78.28","9.37","K4 V","","63454","","Chamaeleon","116.7640289","1.01","",""
"10034","Tapecue","HIP 38041","105.80","-54.26","8.10","G6 IV/V","","63765","","Carina","106.3922505","0.75","",""
"10035","Dilmun","","107.60","-39.10","10.51","F6V","","","WASP-121","Puppis","","0.49","",""
"10036","Tevel","","110.17","37.14","12.34","F","","_","HAT-P-9","Auriga","","0.01","",""
"10037","Koit","","110.39","58.27","10.78","","","_","XO-4","Lynx","","","",""
"10038","Absolutno","","116.72","39.09","12.10","","","_","XO-5","Lynx","","","",""
"10039","Kaewkosin","","119.77","15.39","0.00","M2.0V","","","GJ 3470","Cancer","","","",""
"10040","Násti","HIP 40687","120.31","61.46","8.20","G2 V","","68988","","UrsaMajor","191.8452467","0.63","",""
"10041","Gakyid","HIP 42446","120.65","12.96","8.23","G5 IV","","73534","","Cancer","264.186761","0.96","",""
"10042","Stribor","HIP 43674","120.90","33.06","8.03","G0 V","","75898","","Lynx","262.8169032","0.63","",""
"10043","Maru","","121.72","-66.30","13.70","DQ","","","WD 0806-661","Volans","","0.06","",""
"10044","Tislit","","126.34","-11.50","11.08","F6","","_","WASP-161","Puppis","","0.57","",""
"10045","Lerna","","135.34","6.10","12.17","","","_","HAT-P-42","Hydra","","0.66","",""
"10046","Illyrian","HIP 47087","135.60","34.78","7.78","G0","","82886","","LeoMinor","366.0454363","0.86","",""
"10047","Kalausi","HIP 47202","135.62","-43.27","8.22","K0/1 V + G (III)","","83443","","Vela","141.9759285","0.83","",""
"10048","Natasha","HIP 48235","135.83","-49.79","8.53","K1 V","","85390","","Vela","110.7627524","0.85","",""
"10049","Bibhā","HIP 48711","135.93","-3.81","8.73","F8 V","","86081","","Sextans","297.3242672","0.66","",""
"10050","Gloas","","140.10","33.88","10.42","G1V","","_","WASP-13","Lynx","","0.79","",""
"10051","Filetdor","","144.88","-20.98","9.35","F9V","","","WASP-166","Hydra","","0.59","",""
"10052","Añañuca","HIP 47780","146.12","-45.78","9.98","M1V","","","GJ 367","Vela","","1.39","",""
"10053","Wattle","","148.42","-45.66","12.31","G8V","","","WASP-19","Vela","","0.74","",""
